"","phylodist"
"Neotetracus_sinensis",144.239401676
"Neohylomys_hainanensis",144.239401681
"Hylomys_suillus",144.239401678
"Hylomys_parvus",144.239401678
"Podogymnura_truei",144.239399034
"Podogymnura_aureospinula",144.239399034
"Echinosorex_gymnura",144.239399274
"Erinaceus_roumanicus",144.239400962
"Erinaceus_concolor",144.239400962
"Erinaceus_europaeus",144.239401682
"Erinaceus_amurensis",144.239401682
"Paraechinus_hypomelas",144.23940197005
"Paraechinus_nudiventris",144.23940197005
"Paraechinus_micropus",144.2394004812
"Paraechinus_aethiopicus",144.2394004812
"Mesechinus_hughi",144.2394016814
"Mesechinus_dauuricus",144.2394016814
"Hemiechinus_collaris",144.2394016818
"Hemiechinus_auritus",144.2394016818
"Atelerix_sclateri",144.23940290747
"Atelerix_frontalis",144.23940290747
"Atelerix_albiventris",144.2394033632
"Atelerix_algirus",144.2394014412
"Blarinella_wardi",144.239401678
"Blarinella_quadraticauda",144.239402159
"Blarinella_griselda",144.239402159
"Cryptotis_squamipes",144.2394048044
"Cryptotis_endersi",144.2394045636
"Cryptotis_tropicalis",144.2394045636
"Cryptotis_mayensis",144.2394045639
"Cryptotis_meridensis",144.2394045634
"Cryptotis_oreoryctes",144.2394043234
"Cryptotis_mam",144.2394043
"Cryptotis_lacertosus",144.2394043
"Cryptotis_alticola",144.2394031219
"Cryptotis_goldmani",144.2394031223
"Cryptotis_peregrina",144.2394031223
"Cryptotis_hondurensis",144.2394031223
"Cryptotis_obscura",144.2394030502
"Cryptotis_nelsoni",144.2394030502
"Cryptotis_mexicana",144.2394028579
"Cryptotis_thomasi",144.2394028579
"Cryptotis_lacandonensis",144.2394029306
"Cryptotis_merriami",144.2394029306
"Cryptotis_perijensis",144.2394029299
"Cryptotis_brachyonyx",144.2394029299
"Cryptotis_peruviensis",144.2394050443
"Cryptotis_griseoventris",144.2394050443
"Cryptotis_montivaga",144.2394050445
"Cryptotis_goodwini",144.2394050445
"Cryptotis_phillipsii",144.2394033633
"Cryptotis_magna",144.2394031227
"Cryptotis_orophila",144.239403363
"Cryptotis_niausa",144.239403363
"Cryptotis_parva",144.239404083
"Blarina_hylophaga",144.239404083
"Blarina_carolinensis",144.239405044
"Blarina_brevicauda",144.239405044
"Cryptotis_venezuelensis",144.2394026415
"Cryptotis_mera",144.2394026415
"Cryptotis_colombiana",144.2394028817
"Cryptotis_equatoris",144.23940288212
"Cryptotis_gracilis",144.23940288212
"Cryptotis_nigrescens",144.2394024002
"Cryptotis_medellinia",144.2394024006
"Cryptotis_tamensis",144.2394024006
"Cryptotis_aroensis",144.2394033622
"Sorex_dispar",144.2394015126
"Sorex_fumeus",144.2394015126
"Sorex_tenellus",144.2394008871
"Sorex_nanus",144.2394008871
"Sorex_neomexicanus",144.2394010329
"Sorex_sclateri",144.2394010329
"Sorex_bairdi",144.2394010801
"Sorex_monticolus",144.2394010801
"Sorex_pacificus",144.2394010321
"Sorex_sonomae",144.2394010321
"Sorex_palustris",144.23940101524
"Sorex_bendirii",144.23940101524
"Sorex_oreopolus",144.23940100885
"Sorex_vagrans",144.23940110495
"Sorex_buchariensis",144.23940110495
"Sorex_planiceps",144.2394010329
"Sorex_ornatus",144.239401033
"Sorex_mediopua",144.239401033
"Sorex_rohweri",144.239400311
"Sorex_sinalis",144.239400311
"Sorex_milleri",144.2394009605
"Sorex_longirostris",144.23940088845
"Sorex_emarginatus",144.23940093655
"Sorex_veraecrucis",144.23940093655
"Sorex_cinereus",144.2394010326
"Sorex_preblei",144.239401033
"Sorex_lyelli",144.2394009848
"Sorex_leucogaster",144.2394009608
"Sorex_pribilofensis",144.23940103293
"Sorex_ugyunak",144.23940103293
"Sorex_camtschatica",144.23940110499
"Sorex_jacksoni",144.23940103289
"Sorex_portenkoi",144.23940103289
"Sorex_haydeni",144.2394009848
"Sorex_hoyi",144.239401681
"Sorex_saussurei",144.239401681
"Sorex_trowbridgii",144.239401681
"Sorex_arizonae",144.239401681
"Sorex_cylindricauda",144.239402402
"Sorex_excelsus",144.2394021612
"Sorex_bedfordiae",144.2394021612
"Sorex_samniticus",144.239403242
"Sorex_kozlovi",144.2394020406
"Sorex_asper",144.2394020406
"Sorex_tundrensis",144.2394022807
"Sorex_daphaenodon",144.2394022803
"Sorex_ventralis",144.2394020406
"Sorex_coronatus",144.2394020406
"Sorex_antinorii",144.2394020406
"Sorex_satunini",144.2394021367
"Sorex_araneus",144.2394022087
"Sorex_granarius",144.2394022087
"Sorex_maritimensis",144.2394025215
"Sorex_alaskanus",144.2394022805
"Sorex_ixtlanensis",144.2394024007
"Sorex_arcticus",144.2394024007
"Sorex_macrodon",144.2394021614
"Sorex_shinto",144.2394021614
"Sorex_caecutiens",144.2394019211
"Sorex_isodon",144.2394019211
"Sorex_unguiculatus",144.2394019211
"Sorex_hosonoi",144.2394018008
"Sorex_arunchi",144.2394020405
"Sorex_yukonicus",144.2394020645
"Sorex_minutissimus",144.2394020645
"Sorex_gracillimus",144.2394018017
"Sorex_stizodon",144.2394018017
"Sorex_cansulus",144.2394018008
"Sorex_mirabilis",144.23940192119
"Sorex_merriami",144.23940192119
"Sorex_minutus",144.23940192119
"Sorex_volnuchini",144.23940192119
"Sorex_thibetanus",144.23940187329
"Sorex_veraepacis",144.23940187329
"Sorex_raddei",144.239403122
"Sorex_roboratus",144.239403122
"Sorex_orizabae",144.2394012
"Sorex_alpinus",144.2394012
"Notiosorex_cockrumi",144.239402881
"Notiosorex_villai",144.239402881
"Notiosorex_evotis",144.2394021605
"Notiosorex_crawfordi",144.2394021605
"Megasorex_gigas",144.23940168
"Neomys_fodiens",144.23940168
"Neomys_teres",144.239402401
"Neomys_anomalus",144.239402401
"Episoriculus_fumidus",144.2394031247
"Episoriculus_macrurus",144.2394021616
"Episoriculus_leucops",144.2394045626
"Episoriculus_caudatus",144.2394045626
"Soriculus_nigrescens",144.2394033616
"Chodsigoa_sodalis",144.23940288
"Chodsigoa_lamula",144.23940288
"Chodsigoa_smithii",144.2394028805
"Chodsigoa_salenskii",144.2394023995
"Chodsigoa_caovansunga",144.2394026405
"Chodsigoa_parva",144.2394028808
"Chodsigoa_parca",144.2394028808
"Chodsigoa_hypsibia",144.2394033606
"Nectogale_elegans",144.2394024006
"Chimarrogale_phaeura",144.2394024006
"Chimarrogale_sumatrana",144.2394040826
"Chimarrogale_himalayica",144.2394040826
"Chimarrogale_styani",144.2394038416
"Chimarrogale_platycephalus",144.2394045626
"Chimarrogale_hantu",144.2394045626
"Anourosorex_squamipes",144.2394030303
"Anourosorex_assamensis",144.2394030303
"Anourosorex_yamashinai",144.239403126
"Anourosorex_schmidi",144.239401685
"Crocidura_polia",144.23940231189
"Crocidura_lwiroensis",144.23940231189
"Crocidura_ultima",144.23940231219
"Crocidura_zarudnyi",144.23940231219
"Crocidura_congobelgica",144.23940231229
"Crocidura_smithii",144.23940248039
"Crocidura_serezkyensis",144.23940248039
"Crocidura_whitakeri",144.23940231259
"Crocidura_pasha",144.23940231159
"Crocidura_aleksandrisi",144.23940207149
"Crocidura_manengubae",144.23940207149
"Crocidura_suaveolens",144.23940209517
"Crocidura_sibirica",144.23940209517
"Crocidura_tenuis",144.23940192702
"Crocidura_hilliana",144.23940192702
"Crocidura_eisentrauti",144.23940202307
"Crocidura_caspica",144.23940202307
"Crocidura_shantungensis",144.23940111049
"Crocidura_fingui",144.23940231109
"Crocidura_paradoxura",144.23940231129
"Crocidura_negligens",144.23940279129
"Crocidura_malayana",144.23940279129
"Crocidura_abscondita",144.23940327189
"Crocidura_bottegi",144.23940271995
"Crocidura_hispida",144.23940281607
"Crocidura_grayi",144.23940281607
"Crocidura_katinka",144.23940281575
"Crocidura_mindorus",144.23940281575
"Crocidura_negrina",144.23940295985
"Crocidura_panayensis",144.23940291175
"Crocidura_maquassiensis",144.23940291175
"Crocidura_tansaniana",144.23940291175
"Crocidura_harenna",144.23940296015
"Crocidura_gmelini",144.23940296015
"Crocidura_beatus",144.23940295985
"Crocidura_palawanensis",144.23940303205
"Crocidura_grandis",144.23940250345
"Crocidura_foetida",144.23940250345
"Crocidura_sapaensis",144.23940303165
"Crocidura_denti",144.23940303165
"Crocidura_ninoyi",144.23940303215
"Crocidura_planiceps",144.23940303185
"Crocidura_nigripes",144.23940360799
"Crocidura_lepidura",144.23940288789
"Crocidura_gracilipes",144.23940286389
"Crocidura_beccarii",144.23940286389
"Crocidura_orii",144.23940288709
"Crocidura_brunnea",144.23940288709
"Crocidura_orientalis",144.23940288719
"Crocidura_watasei",144.23940279149
"Crocidura_neglecta",144.23940255099
"Crocidura_lasiura",144.23940276739
"Crocidura_dsinezumi",144.23940276739
"Crocidura_zimmeri",144.23940283949
"Crocidura_rapax",144.23940283949
"Crocidura_selina",144.23940346339
"Crocidura_phanluongi",144.23940207049
"Crocidura_arabica",144.23940279039
"Crocidura_macarthuri",144.23940279039
"Crocidura_wuchihensis",144.23940279039
"Crocidura_indochinensis",144.23940279079
"Crocidura_hutanis",144.23940279079
"Crocidura_greenwoodi",144.23940276739
"Crocidura_fuliginosa",144.23940276739
"Crocidura_phuquocensis",144.23940204669
"Crocidura_attenuata",144.23940255059
"Crocidura_zaitsevi",144.23940255059
"Crocidura_tanakae",144.23940231059
"Crocidura_monticola",144.23940351249
"Crocidura_lucina",144.23940351249
"Crocidura_susiana",144.23940255049
"Crocidura_sokolovi",144.23940231009
"Crocidura_miya",144.23940303159
"Crocidura_baluensis",144.23940303159
"Crocidura_hikmiya",144.23940279199
"Crocidura_foxi",144.23940279199
"Crocidura_fumosa",144.23940279199
"Crocidura_jenkinsi",144.23940279109
"Crocidura_pullata",144.23940279049
"Crocidura_nicobarica",144.23940279109
"Crocidura_horsfieldii",144.23940279109
"Diplomesodon_pulchellum",144.23940399279
"Crocidura_annamitensis",144.23940399279
"Crocidura_desperata",144.23940399249
"Crocidura_batakorum",144.23940279139
"Crocidura_floweri",144.23940255139
"Crocidura_jacksoni",144.23940293599
"Crocidura_musseri",144.23940293599
"Crocidura_elongata",144.23940269539
"Crocidura_ansellorum",144.23940293639
"Crocidura_lea",144.23940293639
"Crocidura_allex",144.23940245569
"Crocidura_rhoditis",144.23940245569
"Crocidura_levicula",144.23940207139
"Crocidura_phaeura",144.23940207139
"Crocidura_baileyi",144.2394033442
"Crocidura_niobe",144.2394023829
"Crocidura_picea",144.239402455
"Crocidura_vorax",144.239402455
"Crocidura_thalia",144.23940190244
"Crocidura_glassi",144.23940190244
"Crocidura_munissii",144.2394024073
"Crocidura_mdumai",144.2394024073
"Crocidura_macmillani",144.2394022871
"Crocidura_luna",144.2394022871
"Crocidura_trichura",144.23940233492
"Crocidura_monax",144.23940233492
"Crocidura_newmarki",144.23940233492
"Crocidura_nigeriae",144.239402407
"Crocidura_montis",144.239402407
"Crocidura_zimmermanni",144.2394021666
"Crocidura_guy",144.2394016865
"Crocidura_sicula",144.2394016865
"Crocidura_canariensis",144.2394021673
"Crocidura_religiosa",144.2394007257
"Crocidura_tarfayensis",144.2394007257
"Crocidura_leucodon",144.2394031279
"Crocidura_obscurior",144.2394033685
"Crocidura_russula",144.2394036089
"Crocidura_pachyura",144.2394036089
"Crocidura_parvipes",144.239403608
"Crocidura_kivuana",144.239403608
"Crocidura_lamottei",144.2394036079
"Crocidura_flavescens",144.2394031287
"Crocidura_pergrisea",144.2394029127
"Crocidura_hirta",144.2394029127
"Crocidura_cranbrooki",144.2394029127
"Crocidura_goliath",144.2394031283
"Crocidura_mutesae",144.2394031283
"Crocidura_olivieri",144.239403128
"Crocidura_fulvastra",144.2394031283
"Crocidura_viaria",144.2394031283
"Crocidura_crenata",144.2394028889
"Crocidura_grassei",144.2394028889
"Crocidura_nanilla",144.2394036085
"Crocidura_tarella",144.2394036085
"Crocidura_raineyi",144.2394040894
"Crocidura_douceti",144.2394040894
"Crocidura_muricauda",144.2394028885
"Crocidura_nigrofusca",144.2394026471
"Crocidura_nana",144.2394026471
"Crocidura_nimbae",144.2394038484
"Crocidura_nimbasilvanus",144.2394035847
"Crocidura_pitmani",144.2394035847
"Paracrocidura_schoutedeni",144.2394021667
"Paracrocidura_maxima",144.2394021667
"Paracrocidura_graueri",144.2394036077
"Crocidura_turba",144.239402455
"Crocidura_mariquensis",144.23940271936
"Crocidura_andamanensis",144.23940271936
"Crocidura_macowi",144.23940286361
"Crocidura_zaphiri",144.2394029116
"Crocidura_yankariensis",144.2394029116
"Crocidura_silacea",144.239402936
"Crocidura_dolichura",144.239403176
"Crocidura_attila",144.2394029355
"Crocidura_virgata",144.2394034159
"Crocidura_telfordi",144.2394034159
"Crocidura_hildegardeae",144.2394034164
"Crocidura_grandiceps",144.2394036568
"Crocidura_usambarae",144.23940315209
"Crocidura_theresae",144.23940291189
"Crocidura_thomensis",144.23940291179
"Crocidura_batesi",144.23940291179
"Crocidura_buettikoferi",144.23940291229
"Crocidura_poensis",144.23940291229
"Crocidura_vosmaeri",144.2394019743
"Crocidura_wimmeri",144.2394019743
"Crocidura_nigricans",144.2394029356
"Crocidura_fischeri",144.2394029356
"Crocidura_maurisca",144.2394029356
"Crocidura_littoralis",144.2394029358
"Crocidura_stenocephala",144.2394029358
"Crocidura_ludia",144.2394038969
"Crocidura_cyanea",144.2394029358
"Crocidura_voi",144.2394029358
"Crocidura_bottegoides",144.23940387284
"Crocidura_armenica",144.23940387264
"Crocidura_maxi",144.23940387264
"Crocidura_erica",144.23940483384
"Crocidura_dhofarensis",144.23940483354
"Crocidura_ramona",144.23940483354
"Crocidura_roosevelti",144.2394022152
"Crocidura_longipes",144.2394022152
"Crocidura_latona",144.2394022156
"Crocidura_caliginea",144.2394022156
"Crocidura_lanosa",144.2394026714
"Crocidura_lusitania",144.2394031522
"Crocidura_somalica",144.2394031516
"Crocidura_arispa",144.2394031516
"Crocidura_cinderella",144.2394033914
"Crocidura_elgonius",144.2394033919
"Crocidura_jouvenetae",144.23940329575
"Crocidura_crossei",144.23940329575
"Crocidura_xantippe",144.2394029121
"Crocidura_fuscomurina",144.2394029121
"Suncus_zeylanicus",144.2394016864
"Suncus_stoliczkanus",144.2394021674
"Suncus_murinus",144.2394016867
"Sylvisorex_akaibei",144.2394016864
"Suncus_montanus",144.2394016864
"Suncus_dayi",144.2394012054
"Sylvisorex_howelli",144.2394012054
"Sylvisorex_silvanorum",144.239402166
"Suncus_malayanus",144.2394027191
"Suncus_fellowesgordoni",144.2394027191
"Suncus_etruscus",144.2394026469
"Suncus_madagascariensis",144.2394026469
"Feroculus_feroculus",144.239402167
"Sylvisorex_corbeti",144.2394004853
"Ruwenzorisorex_suncoides",144.2394019273
"Suncus_megalura",144.2394014458
"Sylvisorex_oriundus",144.2394014458
"Sylvisorex_ollula",144.2394040893
"Scutisorex_thori",144.2394038493
"Scutisorex_somereni",144.2394038493
"Sylvisorex_konganensis",144.2394016863
"Suncus_aequatorius",144.2394016863
"Sylvisorex_pluvialis",144.2394011577
"Suncus_hututsi",144.2394009174
"Suncus_lixus",144.2394009174
"Suncus_remyi",144.2394004854
"Suncus_ater",144.2394016864
"Suncus_mertensi",144.2394016864
"Suncus_hosei",144.2394016874
"Suncus_varilla",144.2394016868
"Sylvisorex_isabellae",144.2394016868
"Suncus_infinitesimus",144.2394002454
"Sylvisorex_johnstoni",144.239400487
"Sylvisorex_granti",144.2394014466
"Sylvisorex_camerunensis",144.2394014466
"Sylvisorex_vulcanorum",144.239401446
"Sylvisorex_morio",144.239400485
"Sylvisorex_lunaris",144.239400485
"Surdisorex_polulus",144.23940243429
"Surdisorex_norae",144.23940243429
"Surdisorex_schlitteri",144.2394026505
"Solisorex_pearsoni",144.239404092
"Myosorex_rumpii",144.239401687
"Myosorex_jejei",144.239401687
"Myosorex_babaulti",144.239403609
"Myosorex_zinki",144.2394023355
"Myosorex_meesteri",144.2394023355
"Myosorex_kabogoensis",144.239402167
"Myosorex_okuensis",144.2394036082
"Myosorex_bururiensis",144.2394033683
"Myosorex_sclateri",144.2394033683
"Myosorex_blarina",144.2394033443
"Myosorex_varius",144.2394033443
"Myosorex_cafer",144.2394033683
"Myosorex_gnoskei",144.239403609
"Myosorex_longicaudatus",144.2394014948
"Myosorex_eisentrauti",144.2394014948
"Myosorex_geata",144.2394031275
"Myosorex_kihaulei",144.2394031275
"Myosorex_tenuis",144.2394026469
"Myosorex_schalleri",144.2394026469
"Congosorex_verheyeni",144.2394014504
"Congosorex_phillipsorum",144.2394014504
"Congosorex_polli",144.239401686
"Smutsia_temminckii",144.239428226
"Smutsia_gigantea",144.239428226
"Phataginus_tricuspis",144.239428226
"Phataginus_tetradactyla",144.239428226
"Manis_pentadactyla",144.2394275236
"Manis_javanica",144.2394275236
"Manis_crassicaudata",144.239427171
"Manis_culionensis",144.239427171
"Urocyon_littoralis",144.2394186831
"Urocyon_cinereoargenteus",144.2394186831
"Vulpes_macrotis",144.239418919
"Vulpes_lagopus",144.239420688
"Vulpes_velox",144.23942057007
"Vulpes_bengalensis",144.23942057007
"Vulpes_ferrilata",144.2394200979
"Vulpes_corsac",144.2394200979
"Vulpes_rueppellii",144.239420098
"Vulpes_vulpes",144.239420098
"Vulpes_zerda",144.2394199511
"Vulpes_cana",144.2394199511
"Vulpes_chama",144.2394205405
"Vulpes_pallida",144.239418919
"Otocyon_megalotis",144.2394192148
"Nyctereutes_procyonoides",144.2394192148
"Lycaon_pictus",144.2394196274
"Dusicyon_avus",144.239419724527
"Dusicyon_australis",144.239419724527
"Chrysocyon_brachyurus",144.239419666027
"Canis_mesomelas",144.239420549327
"Canis_simensis",144.239418368327
"Canis_latrans",144.239419547327
"Canis_aureus",144.239419576927
"Canis_lupus",144.239419871627
"Canis_anthus",144.239419871627
"Cuon_alpinus",144.239419370527
"Canis_rufus",144.239419370527
"Canis_adustus",144.239419665127
"Pseudalopex_sechurae",144.2394195088
"Pseudalopex_vetulus",144.239419509
"Pseudalopex_fulvipes",144.239419509
"Pseudalopex_gymnocercus",144.2394194206
"Pseudalopex_griseus",144.2394194206
"Pseudalopex_culpaeus",144.2394194206
"Speothos_venaticus",144.2394193027
"Cerdocyon_thous",144.2394193027
"Atelocynus_microtis",144.2394195086
"Neomonachus_tropicalis",144.2394195136
"Neomonachus_schauinslandi",144.2394201034
"Monachus_monachus",144.2394201034
"Mirounga_leonina",144.2394203983
"Mirounga_angustirostris",144.2394203983
"Lobodon_carcinophaga",144.239418335
"Leptonychotes_weddellii",144.239419514
"Ommatophoca_rossii",144.2394195134
"Hydrurga_leptonyx",144.2394195134
"Erignathus_barbatus",144.239420693
"Pagophilus_groenlandicus",144.2394199851
"Histriophoca_fasciata",144.2394199851
"Phoca_vitulina",144.2394199854
"Phoca_largha",144.2394199854
"Pusa_sibirica",144.239419897
"Pusa_hispida",144.239419897
"Pusa_caspica",144.23941974968
"Halichoerus_grypus",144.23941974968
"Cystophora_cristata",144.239420693
"Odobenus_rosmarus",144.239419514
"Callorhinus_ursinus",144.239419514
"Zalophus_californianus",144.2394199856
"Zalophus_wollebaeki",144.2394199856
"Zalophus_japonicus",144.2394198083
"Eumetopias_jubatus",144.239419808
"Arctocephalus_pusillus",144.2394198087
"Phocarctos_hookeri",144.2394198966
"Neophoca_cinerea",144.2394198966
"Otaria_bryonia",144.23941992618
"Arctocephalus_townsendi",144.23941986708
"Arctocephalus_philippii",144.23941986708
"Arctocephalus_tropicalis",144.23941980828
"Arctocephalus_gazella",144.23941980828
"Arctocephalus_forsteri",144.23941963138
"Arctocephalus_galapagoensis",144.23941963137
"Arctocephalus_australis",144.23941963137
"Mydaus_marchei",144.239418915
"Mydaus_javanensis",144.239418915
"Spilogale_putorius",144.239418624
"Spilogale_pygmaea",144.2394189183
"Spilogale_angustifrons",144.2394189193
"Spilogale_gracilis",144.2394189193
"Mephitis_mephitis",144.239419508
"Mephitis_macroura",144.239419508
"Conepatus_semistriatus",144.2394209829
"Conepatus_chinga",144.2394209829
"Conepatus_humboldtii",144.2394192141
"Conepatus_leuconotus",144.2394192141
"Potos_flavus",144.2394203932
"Procyon_lotor",144.2394186242
"Procyon_pygmaeus",144.2394186535
"Procyon_cancrivorus",144.2394186535
"Bassariscus_sumichrasti",144.2394189192
"Bassariscus_astutus",144.2394189192
"Nasua_nasua",144.2394209822
"Nasuella_olivacea",144.239420982
"Nasuella_meridensis",144.239420982
"Nasua_narica",144.2394206875
"Bassaricyon_neblina",144.2394206872
"Bassaricyon_medius",144.2394203928
"Bassaricyon_gabbii",144.2394203928
"Bassaricyon_alleni",144.2394206872
"Taxidea_taxus",144.2394174462
"Meles_meles",144.2394186212
"Meles_leucurus",144.2394183261
"Meles_anakuma",144.2394183261
"Arctonyx_collaris",144.2394177372
"Mellivora_capensis",144.2394197998
"Martes_foina",144.2394174451
"Martes_martes",144.2394174164
"Martes_zibellina",144.2394174164
"Martes_melampus",144.2394177104
"Martes_americana",144.2394174451
"Martes_flavigula",144.2394183301
"Gulo_gulo",144.2394171501
"Martes_pennanti",144.2394182413
"Martes_gwatkinsii",144.2394182413
"Eira_barbara",144.239417445
"Melogale_moschata",144.2394200392
"Melogale_everetti",144.239420039
"Melogale_orientalis",144.239420039
"Melogale_personata",144.239420098
"Melogale_cucphuongensis",144.239419508
"Mustela_africana",144.2394183304
"Mustela_felipei",144.2394183304
"Mustela_frenata",144.2394183304
"Neovison_vison",144.2394183294
"Neovison_macrodon",144.2394183294
"Mustela_strigidorsa",144.239418329
"Mustela_nudipes",144.239418329
"Mustela_itatsi",144.2394186247
"Mustela_sibirica",144.2394186246
"Mustela_lutreolina",144.2394186246
"Mustela_nigripes",144.2394187719
"Mustela_subpalmata",144.2394188898
"Mustela_eversmanii",144.2394188898
"Mustela_putorius",144.2394188899
"Mustela_lutreola",144.2394189193
"Mustela_nivalis",144.2394186245
"Mustela_altaica",144.2394186245
"Mustela_erminea",144.2394189197
"Mustela_kathiah",144.2394189187
"Vormela_peregusna",144.2394200974
"Poecilogale_albinucha",144.2394189184
"Ictonyx_striatus",144.2394189184
"Ictonyx_libyca",144.2394189184
"Galictis_vittata",144.2394200974
"Lyncodon_patagonicus",144.2394189181
"Galictis_cuja",144.2394189181
"Pteronura_brasiliensis",144.2394177392
"Lontra_longicaudis",144.2394192131
"Lontra_provocax",144.2394192135
"Lontra_felina",144.2394192135
"Lontra_canadensis",144.2394180341
"Enhydra_lutris",144.2394180341
"Lutra_maculicollis",144.2394189181
"Lutra_sumatrana",144.2394180341
"Lutra_lutra",144.2394180341
"Aonyx_capensis",144.2394183281
"Aonyx_congicus",144.2394182393
"Lutrogale_perspicillata",144.2394182393
"Aonyx_cinerea",144.2394183281
"Ailurus_fulgens",144.2394183342
"Ursus_spelaeus",144.2394180348
"Ursus_deningeri",144.2394180348
"Ursus_maritimus",144.2394180341
"Ursus_arctos",144.2394180341
"Melursus_ursinus",144.2394185355
"Ursus_thibetanus",144.239418241
"Ursus_americanus",144.239418241
"Helarctos_malayanus",144.2394173565
"Tremarctos_ornatus",144.239419803
"Arctodus_simus",144.239419803
"Ailuropoda_melanoleuca",144.239418918
"Nandinia_binotata",144.239421868
"Hyaena_hyaena",144.2394200949
"Hyaena_brunnea",144.2394200949
"Proteles_cristata",144.2394189159
"Crocuta_crocuta",144.2394189159
"Fossa_fossana",144.2394192119
"Eupleres_goudotii",144.2394192119
"Salanoia_durrelli",144.2394200378
"Salanoia_concolor",144.2394200378
"Mungotictis_decemlineata",144.2394200968
"Galidictis_grandidieri",144.2394200966
"Galidictis_fasciata",144.2394200966
"Galidia_elegans",144.2394198019
"Cryptoprocta_spelea",144.2394198019
"Cryptoprocta_ferox",144.2394198019
"Suricata_suricatta",144.2394215702
"Dologale_dybowskii",144.2394200957
"Helogale_parvula",144.2394195064
"Helogale_hirtula",144.2394195064
"Crossarchus_obscurus",144.2394206857
"Crossarchus_platycephalus",144.2394206856
"Crossarchus_ansorgei",144.2394206857
"Crossarchus_alexandri",144.2394206857
"Mungos_mungo",144.2394203903
"Mungos_gambianus",144.2394203903
"Liberiictis_kuhni",144.2394212747
"Ichneumia_albicauda",144.239420981
"Rhynchogale_melleri",144.239420685
"Bdeogale_crassicauda",144.2394203312
"Bdeogale_nigripes",144.2394203312
"Bdeogale_jacksoni",144.2394204786
"Bdeogale_omnivora",144.2394204787
"Cynictis_penicillata",144.2394207737
"Paracynictis_selousi",144.2394205972
"Herpestes_ochraceus",144.23942077377
"Herpestes_smithii",144.23942077377
"Herpestes_pulverulentus",144.239419389
"Herpestes_flavescens",144.239420863
"Herpestes_sanguineus",144.239420863
"Herpestes_ichneumon",144.23942216
"Atilax_paludinosus",144.2394209811
"Herpestes_naso",144.2394209811
"Herpestes_fuscus",144.2394206863
"Herpestes_javanicus",144.2394203913
"Herpestes_edwardsii",144.2394203913
"Herpestes_vitticollis",144.239421276
"Herpestes_brachyurus",144.2394200965
"Herpestes_semitorquatus",144.2394209815
"Herpestes_urva",144.2394209815
"Genetta_angolensis",144.23942196203
"Genetta_poensis",144.23942189671
"Genetta_bourloni",144.23942189671
"Genetta_abyssinica",144.23942190253
"Genetta_pardina",144.23942196153
"Genetta_maculata",144.2394219021
"Genetta_tigrina",144.2394219026
"Genetta_victoriae",144.2394219026
"Genetta_johnstoni",144.2394217556
"Poiana_richardsonii",144.2394220213
"Poiana_leightoni",144.2394220213
"Genetta_thierryi",144.2394217261
"Genetta_genetta",144.2394218145
"Genetta_cristata",144.2394218639
"Genetta_servalina",144.2394218642
"Genetta_piscivora",144.2394218642
"Viverricula_indica",144.2394227489
"Viverra_tangalunga",144.2394227485
