model,rank,AUC,cutoff,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,CSI,ACC,J
connectance,6,0.8256324105429755,0.8528528528528528,0.6635514018691588,0.9205298013245033,0.8922800718132855,0.73389651531151,0.3364485981308411,0.07947019867549669,0.10771992818671454,0.26610348468849,0.6143386897404203,0.7925531914893617,0.5840812031936622
degree,11,0.8245052391615231,0.9109109109109109,0.5885486018641811,0.9194187582562747,0.878727634194831,0.6925373134328359,0.41145139813581894,0.08058124174372523,0.12127236580516898,0.3074626865671642,0.5443349753694581,0.7546419098143236,0.507967360120456
hybrid,7,0.8236407219155434,0.8598598598598599,0.5867549668874172,0.9537648612945839,0.9267782426778243,0.6982591876208898,0.41324503311258276,0.046235138705416116,0.07322175732217573,0.30174081237911027,0.5607594936708861,0.7705026455026455,0.5405198281820012
hybrid,13,0.8231867233054536,0.9319319319319319,0.6241699867197875,0.9390728476821192,0.9108527131782945,0.7147177419354839,0.3758300132802125,0.060927152317880796,0.08914728682170543,0.2852822580645161,0.5882352941176471,0.7818302387267905,0.5632428344019067
connectance,20,0.8215352449223415,0.987987987987988,0.6689814814814815,0.956221198156682,0.9383116883116883,0.7437275985663082,0.33101851851851855,0.04377880184331797,0.06168831168831169,0.25627240143369173,0.6407982261640798,0.812933025404157,0.6252026796381636
degree,16,0.8208268305604078,0.9279279279279279,0.5881561238223418,0.9148936170212766,0.872255489021956,0.6921529175050302,0.41184387617765816,0.0851063829787234,0.1277445109780439,0.30784708249496984,0.5415117719950434,0.7525083612040134,0.5030497408436183
hybrid,10,0.8203234442040411,0.9069069069069069,0.5807327001356852,0.95,0.9204301075268817,0.6946640316205533,0.41926729986431477,0.05,0.07956989247311828,0.30533596837944665,0.5529715762273901,0.7657413676371022,0.5307327001356852
connectance,15,0.8200413368513633,0.8868868868868869,0.668,0.9261213720316622,0.8994614003590664,0.7381703470031545,0.332,0.07387862796833773,0.10053859964093358,0.2618296529968454,0.6215880893300249,0.7977453580901857,0.5941213720316623
hybrid,15,0.8196249270829454,0.8478478478478478,0.6341789052069426,0.9123505976095617,0.878003696857671,0.7148803329864725,0.3658210947930574,0.08764940239043825,0.12199630314232902,0.2851196670135276,0.5828220858895705,0.7736351531291611,0.5465295028165045
connectance,19,0.8184620043136268,0.988988988988989,0.6648793565683646,0.9445178335535006,0.9219330855018587,0.7409326424870466,0.3351206434316354,0.05548216644649934,0.07806691449814127,0.25906735751295334,0.6294416243654822,0.8057218895542249,0.6093971901218653
hybrid,9,0.8184600233440328,0.8508508508508509,0.5815217391304348,0.934228187919463,0.8972746331236897,0.6932270916334662,0.41847826086956524,0.06577181208053691,0.10272536687631027,0.30677290836653387,0.5452229299363057,0.7589466576637407,0.5157499270498977
hybrid,20,0.8159614806221535,0.950950950950951,0.6357308584686775,0.9259259259259259,0.8954248366013072,0.718132854578097,0.3642691415313225,0.07407407407407407,0.10457516339869281,0.28186714542190305,0.591792656587473,0.7809965237543454,0.5616567843946034
hybrid,5,0.8150490728707274,0.8008008008008008,0.5949197860962567,0.9282868525896414,0.8917835671342685,0.6976047904191617,0.4050802139037433,0.07171314741035857,0.10821643286573146,0.3023952095808383,0.5548628428927681,0.7621585609593604,0.523206638685898
degree,14,0.8142090623598025,0.8958958958958959,0.6002691790040376,0.8946666666666667,0.8495238095238096,0.6931818181818182,0.3997308209959623,0.10533333333333333,0.15047619047619049,0.3068181818181818,0.5425790754257908,0.7481580709979906,0.4949358456707045
degree,17,0.8134744311404961,0.8938938938938938,0.6085790884718498,0.8844621513944223,0.8391866913123844,0.6951983298538622,0.3914209115281501,0.11553784860557768,0.16081330868761554,0.3048016701461378,0.5450180072028812,0.7471647765176784,0.493041239866272
degree,13,0.8114236176985181,0.964964964964965,0.5776892430278885,0.9457671957671958,0.9138655462184874,0.6921587608906099,0.42231075697211157,0.05423280423280423,0.0861344537815126,0.30784123910939015,0.5478589420654912,0.7620941020543406,0.5234564387950842
degree,8,0.8113030500719398,0.8888888888888888,0.5543624161073826,0.9254327563249002,0.8805970149253731,0.676728334956183,0.44563758389261743,0.07456724367509987,0.11940298507462686,0.32327166504381694,0.5156054931335831,0.7406417112299465,0.47979517243228287
hybrid,19,0.8105603343713557,0.6886886886886887,0.6904441453566622,0.8384512683578104,0.8091482649842271,0.7319347319347319,0.30955585464333785,0.16154873164218958,0.19085173501577288,0.2680652680652681,0.59375,0.764745308310992,0.5288954137144726
connectance,18,0.8060997478782714,0.9109109109109109,0.6604026845637584,0.91005291005291,0.8785714285714286,0.7311370882040382,0.3395973154362416,0.08994708994708994,0.12142857142857143,0.2688629117959617,0.6051660516605166,0.7861425716189208,0.5704555946166683
degree,10,0.806007226738934,0.9039039039039038,0.5501355013550135,0.9203778677462888,0.8731182795698925,0.6725838264299803,0.44986449864498645,0.0796221322537112,0.12688172043010754,0.32741617357001973,0.5094102885821832,0.735632183908046,0.47051336910130237
degree,15,0.8053351488518908,0.8748748748748749,0.6114819759679573,0.8887417218543047,0.8450184501845018,0.6975051975051975,0.3885180240320427,0.11125827814569536,0.15498154981549817,0.3024948024948025,0.5498199279711885,0.7506648936170213,0.5002236978222618
hybrid,6,0.8042915339151936,0.6956956956956957,0.6167341430499326,0.8868175765645806,0.8431734317343174,0.7010526315789474,0.3832658569500675,0.11318242343541944,0.15682656826568267,0.29894736842105263,0.5532687651331719,0.7526809651474531,0.5035517196145132
degree,9,0.8041715189574921,0.8588588588588588,0.5528455284552846,0.9036144578313253,0.85,0.6716417910447762,0.44715447154471544,0.0963855421686747,0.15,0.3283582089552239,0.5037037037037037,0.7292929292929293,0.4564599862866099
hybrid,4,0.8031508678237648,0.6826826826826827,0.6141522029372497,0.896,0.8550185873605948,0.6992715920915713,0.38584779706275035,0.104,0.1449814126394052,0.3007284079084287,0.5562273276904474,0.7551701134089392,0.5101522029372498
degree,7,0.8029464512234595,0.8408408408408113,0.5602649006622517,0.9088507265521797,0.8597560975609756,0.6745098039215687,0.43973509933774835,0.09114927344782034,0.1402439024390244,0.3254901960784314,0.5133495145631068,0.7347883597883598,0.46911562721443145
degree,20,0.8004077739614086,0.958958958958959,0.6078886310904872,0.9145496535796767,0.8762541806020067,0.7008849557522124,0.39211136890951276,0.08545034642032333,0.12374581939799331,0.2991150442477876,0.5598290598290598,0.7615740740740741,0.5224382846701638
degree,19,0.7975231689728544,0.9329329329329329,0.581989247311828,0.899070385126162,0.8506876227897839,0.6852226720647774,0.41801075268817206,0.10092961487383798,0.14931237721021612,0.3147773279352227,0.5280487804878049,0.7414829659318637,0.4810596324379901
hybrid,18,0.7968852757342675,0.9259259259259259,0.5748987854251012,0.9145527369826435,0.8693877551020408,0.685,0.4251012145748988,0.08544726301735647,0.1306122448979592,0.315,0.529192546583851,0.7456375838926175,0.4894515224077447
degree,5,0.7920153484929509,0.7887887887887888,0.5514018691588785,0.8885941644562334,0.8309859154929577,0.6660039761431411,0.4485981308411215,0.11140583554376658,0.16901408450704225,0.33399602385685884,0.4957983193277311,0.720558882235529,0.43999603361511186
hybrid,3,0.7907976482473817,0.6116116116115964,0.6508563899868248,0.8537549407114624,0.8165289256198347,0.7097480832420592,0.34914361001317523,0.14624505928853754,0.1834710743801653,0.2902519167579409,0.5678160919540229,0.7523056653491436,0.5046113306982871
degree,6,0.7819272604276076,0.8358358358374538,0.538255033557047,0.8925729442970822,0.8319502074688797,0.6617502458210422,0.46174496644295304,0.10742705570291777,0.16804979253112035,0.3382497541789577,0.4854721549636804,0.7164776517678453,0.4308279778541291
degree,18,0.778035453843514,0.950950950950951,0.5282258064516129,0.9069148936170213,0.8488120950323974,0.6602129719264279,0.4717741935483871,0.09308510638297872,0.1511879049676026,0.33978702807357214,0.4828009828009828,0.7185828877005348,0.43514070006863426
degree,4,0.7738381962864722,0.7777777777777477,0.528,0.8925729442970822,0.8301886792452831,0.6553067185978578,0.472,0.10742705570291777,0.16981132075471697,0.34469328140214217,0.47653429602888087,0.7107712765957447,0.42057294429708225
connectance,2,0.7709742448319468,0.6526526527242977,0.6755674232309746,0.8467635402906208,0.8135048231511254,0.7251131221719457,0.32443257676902537,0.15323645970937913,0.1864951768488746,0.2748868778280543,0.584971098265896,0.7616201859229748,0.5223309635215956
degree,3,0.7564335570865902,0.7427427426411789,0.541501976284585,0.8669301712779973,0.802734375,0.6540755467196819,0.45849802371541504,0.13306982872200263,0.197265625,0.34592445328031807,0.47790697674418603,0.7042160737812911,0.4084321475625823
connectance,1,0.7472463039745363,0.7124063849833527,0.6507936507936508,0.8482849604221636,0.8105436573311368,0.7089305402425579,0.3492063492063492,0.1517150395778364,0.18945634266886327,0.29106945975744214,0.5648679678530425,0.749669749009247,0.4990786112158143
hybrid,2,0.7194392523364486,0.7189652466888327,0.5126835781041389,0.876,0.8050314465408805,0.6428571428571429,0.48731642189586116,0.124,0.1949685534591195,0.35714285714285715,0.45605700712589076,0.694462975316878,0.3886835781041389
degree,2,0.6696196965586696,0.5836898232057657,0.5393858477970628,0.7383798140770252,0.6722129783693843,0.6170921198668147,0.4606141522029373,0.26162018592297476,0.3277870216306156,0.38290788013318533,0.427061310782241,0.6391478029294274,0.277765661874088
hybrid,1,0.6611344515731161,0.6033691876453727,0.5477453580901857,0.7701453104359313,0.7035775127768313,0.6309523809523809,0.45225464190981435,0.22985468956406868,0.29642248722316866,0.36904761904761907,0.44504310344827586,0.6591661151555261,0.3178906685261169
degree,1,0.589633752118681,0.6223419628548744,0.46225165562913906,0.7255936675461742,0.6265709156193896,0.5753138075313807,0.5377483443708609,0.27440633245382584,0.3734290843806104,0.4246861924686193,0.3624091381100727,0.5941837409120951,0.18784532317531322
